,is_phishing,blacklist,is_ipaddress,is_at,multi_domain,url_length,yg_domain,bad_cookie,foreign_links,mismatch_favi,no_dns,bad_ssl
54,1,0,0,0,0,1,0,0,0,0,0,1
55,1,0,0,0,1,0,0,0,0,0,0,1
56,1,0,0,1,0,1,0,0,1,0,1,1
57,1,0,0,0,0,0,0,0,0,0,0,1
58,1,0,0,0,0,1,0,0,0,1,0,1
59,1,0,0,0,1,0,0,0,0,0,0,0
60,1,0,0,0,1,0,0,0,0,0,0,0
61,1,0,0,0,0,0,0,0,1,0,0,1
62,1,0,0,0,1,0,0,0,0,0,0,0
63,1,0,0,0,0,0,0,0,0,0,0,1
64,1,0,0,0,0,0,0,0,0,1,0,0
65,1,0,0,0,1,0,0,0,0,0,0,0
66,1,0,0,0,1,0,0,0,0,0,0,0
67,1,0,0,0,0,0,0,0,0,1,0,1
68,1,0,0,0,0,0,0,0,0,0,0,1
69,1,0,0,0,1,1,0,0,0,1,0,1
70,1,0,0,0,0,0,0,0,0,0,0,1
71,1,0,0,0,1,1,0,0,0,1,0,1
72,1,0,0,0,0,0,0,0,1,1,0,0
73,1,0,0,0,0,0,0,0,1,1,0,0
74,1,0,0,0,0,0,0,0,0,0,0,1
75,1,0,0,0,1,0,0,0,0,0,0,0
76,1,0,0,0,0,0,0,0,0,1,0,1
77,1,0,0,0,0,1,0,0,0,1,0,1
78,1,0,0,0,0,0,1,0,1,0,0,1
79,1,0,0,0,1,1,0,0,0,1,0,1
80,1,0,0,0,0,0,0,0,0,0,0,1
81,1,0,0,0,0,0,0,0,0,0,0,1
82,1,0,0,0,1,0,0,0,1,0,0,0
83,1,0,0,0,0,0,0,0,0,1,0,1
84,1,0,0,0,0,0,1,0,1,1,0,1
85,1,0,0,0,0,0,0,0,0,1,0,1
86,1,0,0,0,1,0,0,0,0,0,0,0
87,1,0,0,0,0,0,1,0,0,1,0,1
88,1,0,0,0,0,0,0,0,0,0,0,1
89,1,0,0,0,0,0,0,0,0,0,0,1
90,1,0,0,0,0,0,0,0,1,1,0,1
91,1,0,0,0,0,0,0,0,1,1,0,1
92,1,0,0,0,1,1,0,0,0,1,0,1
93,1,0,0,0,0,1,0,1,1,0,0,1
94,1,0,0,0,1,0,0,0,0,1,1,1
95,1,0,1,0,1,1,0,0,0,1,1,1
96,1,0,0,0,0,0,0,0,0,1,0,1
97,1,0,0,1,0,1,0,0,0,1,0,1
98,1,0,0,1,0,1,0,0,0,1,0,1
99,1,0,0,0,0,0,0,0,0,0,0,1
100,1,0,0,0,0,0,1,0,0,0,0,1
101,1,0,0,0,1,1,0,0,0,1,0,1
102,1,0,0,1,1,1,0,0,0,1,0,1
103,1,0,0,0,0,0,1,0,0,1,1,1
104,1,0,0,0,1,0,0,0,0,0,0,0
105,1,0,0,0,0,0,0,0,0,0,0,1
106,1,0,0,0,0,0,0,0,0,1,0,1
107,1,0,0,0,0,1,0,0,0,0,0,1
108,1,0,0,0,0,0,0,0,1,1,0,1
109,1,0,0,0,0,1,0,0,1,0,0,1
110,1,0,0,0,0,1,1,0,0,1,0,1
111,1,0,0,0,0,0,0,0,0,0,0,1
112,1,0,0,0,1,1,0,0,0,1,0,1
113,1,0,0,0,0,0,1,0,0,1,0,0
114,1,0,0,0,0,1,0,0,0,0,0,1
115,1,0,0,0,0,0,0,0,0,1,0,0
116,1,0,0,0,1,0,0,0,0,0,0,1
117,1,0,0,0,0,1,0,0,1,1,0,1
118,1,0,0,0,0,1,0,0,0,0,0,1
119,1,0,0,0,1,0,0,0,0,1,1,1
120,1,0,1,0,0,0,0,1,1,1,0,1
121,1,1,0,0,1,0,0,0,0,0,0,1
122,1,0,0,0,0,0,0,1,0,0,0,1
123,1,0,0,0,0,1,0,0,0,0,0,1
124,1,0,0,0,1,0,1,0,0,1,0,0
125,1,0,0,0,0,1,0,0,1,1,0,1
126,1,0,0,0,1,0,0,1,0,1,1,1
127,1,0,0,0,0,0,0,0,1,0,0,1
128,1,0,0,0,0,1,0,0,1,0,0,1
129,1,0,0,0,0,0,1,0,1,1,0,1
130,1,0,0,0,1,0,0,0,0,0,0,1
131,1,0,0,0,0,0,0,0,0,0,0,1
132,1,0,0,0,1,0,0,0,0,0,0,0
133,1,0,0,0,0,0,1,0,0,1,1,1
134,1,0,0,0,0,0,1,0,0,1,0,0
135,1,0,0,0,0,0,0,0,0,1,0,1
136,1,0,0,0,0,0,0,0,1,1,0,1
137,1,0,0,1,0,0,1,0,0,1,1,1
138,1,0,0,0,0,0,1,0,0,1,1,1
139,1,0,0,0,0,0,0,0,1,0,0,1
140,1,0,0,0,0,0,0,0,0,0,0,1
141,1,0,0,0,0,1,0,0,0,0,0,1
142,1,0,0,0,1,1,0,0,0,0,0,0
143,1,0,0,0,0,0,0,1,0,0,0,1
144,1,0,0,0,0,0,0,0,0,1,1,1
145,1,0,0,0,0,0,1,0,0,1,0,0
146,1,0,1,0,1,1,0,0,0,1,1,1
147,1,0,0,0,0,0,0,0,0,0,0,1
148,1,0,0,0,0,1,0,0,0,0,0,1
149,1,0,0,0,0,0,0,0,1,0,0,1
150,1,0,0,0,0,1,0,0,0,0,0,1
151,1,0,0,0,0,0,0,0,1,0,0,1
152,1,0,0,0,1,1,0,0,0,0,0,1
153,1,0,0,0,1,0,0,0,0,0,0,1
154,1,0,0,0,0,0,0,0,0,0,0,1
155,1,0,0,0,0,0,1,0,0,1,1,1
156,1,0,0,0,0,0,1,0,0,1,0,0
157,1,0,0,0,0,1,0,0,1,0,0,1
158,1,0,0,0,1,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0,0,1
163,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,1
165,0,0,0,0,0,0,0,0,1,1,1,0
166,0,0,0,0,0,0,0,0,0,1,0,0
167,0,0,0,0,0,0,0,0,0,1,1,1
168,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,1,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,1,0,1
172,0,0,0,0,0,0,0,0,0,1,0,0
173,0,0,0,0,0,0,0,0,0,1,1,0
174,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,1,1,1
176,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,1
181,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,1,1,0,0,1
185,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,1,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,1
191,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,1,0,0,0,0,0,0,1
193,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,1,0,1
195,0,0,0,0,0,0,0,1,0,1,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,1
198,0,0,0,0,1,0,0,0,0,0,1,1
199,0,0,0,0,0,0,0,0,0,1,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,1,0,1
202,0,0,0,0,0,0,0,0,0,0,0,0
